Date - Time,Date,Day Number,Day of Week,Distance (mi),Elevation Gain (ft),Calories,Avg HR (bpm),HRSS,HRSS / h,Cadence,Avg Watts (w)
2021-03-26T16:19:41-04:00,3/26/21,365,Friday,7.04,78.3,624,162,78,83,178,238
2021-03-25T18:25:05-04:00,3/25/21,364,Thursday,1.05,0,106,164,12,84,174,214
2021-03-25T17:37:07-04:00,3/25/21,364,Thursday,1.24,6.8,113,165,14,93,176,237
2021-03-24T17:30:54-04:00,3/24/21,363,Wednesday,3.36,89.5,305,161,36,80,178,245
2021-03-23T20:31:38-04:00,3/23/21,362,Tuesday,2.05,43.2,195,163,23,86,176,232
2021-03-22T13:30:01-04:00,3/22/21,361,Monday,3.14,39.4,291,168,41,99,180,246
2021-03-21T12:15:12-04:00,3/21/21,360,Sunday,4.04,45.4,351,160,45,82,182,246
2021-03-20T19:35:57-04:00,3/20/21,359,Saturday,1,0,98,161,11,80,180,225
2021-03-20T18:54:01-04:00,3/20/21,359,Saturday,2.14,41.7,192,159,21,81,176,242
2021-03-19T18:36:53-04:00,3/19/21,358,Friday,2.07,36.3,191,162,21,80,178,244
2021-03-18T17:35:19-04:00,3/18/21,357,Thursday,2.29,6.6,203,155,27,69,180,241
2021-03-17T22:31:01-04:00,3/17/21,356,Wednesday,1.03,15.2,94,158,10,75,178,242
2021-03-16T18:02:22-04:00,3/16/21,355,Tuesday,1.29,19.3,123,154,12,66,180,226
2021-03-16T17:27:38-04:00,3/16/21,355,Tuesday,1.57,6.6,134,151,12,63,180,237
2021-03-15T17:28:48-04:00,3/15/21,354,Monday,2.09,24.5,182,155,18,70,180,241
2021-03-14T13:14:43-04:00,3/14/21,353,Sunday,1.51,14.3,147,165,17,92,180,239
2021-03-13T18:39:02-05:00,3/13/21,352,Saturday,2.03,33,143,135,10,39,176,245
2021-03-12T18:37:03-05:00,3/12/21,351,Friday,1.81,36.2,158,155,15,68,178,247
2021-03-11T17:28:19-05:00,3/11/21,350,Thursday,2.53,16,214,150,25,62,182,239
2021-03-10T17:28:58-05:00,3/10/21,349,Wednesday,2.02,0,176,151,20,62,178,230
2021-03-09T18:27:03-05:00,3/9/21,348,Tuesday,1.57,20.9,139,147,12,53,176,223
2021-03-09T17:29:08-05:00,3/9/21,348,Tuesday,1.59,6.7,139,153,14,65,178,234
2021-03-08T19:01:27-05:00,3/8/21,347,Monday,3.23,49.9,263,151,27,64,180,243
2021-03-07T10:12:07-05:00,3/7/21,346,Sunday,13.13,180.7,1049,160,138,77,184,237
2021-03-06T18:58:40-05:00,3/6/21,345,Saturday,1.02,17.5,97,161,10,80,182,231
2021-03-06T18:31:14-05:00,3/6/21,345,Saturday,3.26,38.5,297,167,36,91,184,250
2021-03-05T15:57:34-05:00,3/5/21,344,Friday,5.16,76.2,469,170,68,102,182,256
2021-03-04T17:39:58-05:00,3/4/21,343,Thursday,1.01,0,99,150,8,59,178,211
2021-03-04T16:27:16-05:00,3/4/21,343,Thursday,6.68,142.7,574,158,62,74,184,247
2021-03-03T17:36:26-05:00,3/3/21,342,Wednesday,5.5,79.5,514,166,64,89,178,241
2021-03-02T18:27:59-05:00,3/2/21,341,Tuesday,1.01,17.9,101,152,9,62,176,213
2021-03-02T17:57:29-05:00,3/2/21,341,Tuesday,3.14,31.9,289,161,31,81,180,241
2021-03-01T18:14:18-05:00,3/1/21,340,Monday,1,0,101,147,8,55,176,204
2021-03-01T17:45:28-05:00,3/1/21,340,Monday,3.16,37.9,280,158,28,72,182,246
2021-02-28T12:39:38-05:00,2/28/21,339,Sunday,10.11,116.3,835,156,105,70,184,236
2021-02-27T18:46:37-05:00,2/27/21,338,Saturday,3.16,37.1,281,158,29,77,184,245
2021-02-26T15:37:55-05:00,2/26/21,337,Friday,3.17,48.1,281,159,30,79,182,245
2021-02-25T17:14:30-05:00,2/25/21,336,Thursday,1.29,17.8,120,153,11,64,180,227
2021-02-25T16:54:10-05:00,2/25/21,336,Thursday,2.07,240.9,205,154,19,66,180,217
2021-02-25T16:31:49-05:00,2/25/21,336,Thursday,1.64,7.8,140,148,12,57,182,219
2021-02-24T23:06:31-05:00,2/24/21,335,Wednesday,3.14,47.7,285,161,31,80,182,242
2021-02-23T18:16:17-05:00,2/23/21,334,Tuesday,3.23,38.1,296,165,35,90,182,247
2021-02-22T18:04:58-05:00,2/22/21,333,Monday,3.22,64.3,277,154,27,66,172,244
2021-02-21T11:39:06-05:00,2/21/21,332,Sunday,13.16,114.3,1007,155,137,68,184,234
2021-02-20T17:36:21-05:00,2/20/21,331,Saturday,3.17,38.8,277,160,32,79,184,248
2021-02-19T15:36:14-05:00,2/19/21,330,Friday,3.16,36.9,299,168,36,93,180,242
2021-02-18T20:21:29-05:00,2/18/21,329,Thursday,3.12,24.6,281,160,34,77,182,243
2021-02-17T19:22:59-05:00,2/17/21,328,Wednesday,3.29,35.6,289,158,31,72,182,241
2021-02-16T18:25:44-05:00,2/16/21,327,Tuesday,1.38,17.5,95,133,6,36,176,236
2021-02-15T18:45:35-05:00,2/15/21,326,Monday,3.2,49.8,307,149,28,59,178,209
2021-02-14T13:12:50-05:00,2/14/21,325,Sunday,3.32,33.7,309,163,34,82,182,242
2021-02-13T18:59:12-05:00,2/13/21,324,Saturday,3.22,53.5,292,159,32,75,182,238
2021-02-12T17:13:54-05:00,2/12/21,323,Friday,3.21,51,228,139,17,44,180,244
2021-02-11T18:47:30-05:00,2/11/21,322,Thursday,3.2,32,283,157,29,71,176,239
2021-02-10T16:35:18-05:00,2/10/21,321,Wednesday,3.12,32.2,292,161,34,82,178,233
2021-02-09T17:40:38-05:00,2/9/21,320,Tuesday,3.18,37.2,283,162,31,81,178,246
2021-02-08T18:02:27-05:00,2/8/21,319,Monday,3.11,28.7,299,160,31,76,180,226
2021-02-07T08:56:50-05:00,2/7/21,318,Sunday,3.23,24.4,275,152,28,63,182,237
2021-02-06T16:35:16-05:00,2/6/21,317,Saturday,4.82,72.4,424,152,45,62,180,217
2021-02-05T16:37:47-05:00,2/5/21,316,Friday,4.82,59,421,157,47,72,180,238
2021-02-04T16:36:38-05:00,2/4/21,315,Thursday,4.35,44.3,400,157,45,71,180,220
2021-02-03T16:35:36-05:00,2/3/21,314,Wednesday,5.63,100.2,544,169,73,97,178,230
2021-02-02T16:37:15-05:00,2/2/21,313,Tuesday,5.01,71.5,465,166,62,91,178,234
2021-02-01T18:11:15-05:00,2/1/21,312,Monday,3.14,29,280,168,35,94,182,249
2021-01-31T16:05:58-05:00,1/31/21,311,Sunday,3.22,171.2,286,151,30,64,180,218
2021-01-30T17:28:34-05:00,1/30/21,310,Saturday,1.57,93,117,146,11,57,186,248
2021-01-29T13:07:44-05:00,1/29/21,309,Friday,13.14,686.9,1025,157,136,72,184,238
2021-01-28T14:12:29-05:00,1/28/21,308,Thursday,3.37,185.4,153,118,9,24,184,247
2021-01-27T14:19:28-05:00,1/27/21,307,Wednesday,3.2,170.9,163,124,11,28,184,249
2021-01-26T13:54:29-05:00,1/26/21,306,Tuesday,3.22,171.1,303,165,37,89,186,231
2021-01-25T13:57:25-05:00,1/25/21,305,Monday,1.44,75.6,75,120,4,25,180,248
2021-01-24T12:11:51-05:00,1/24/21,304,Sunday,3.18,170.3,278,163,32,84,184,248
2021-01-23T07:30:15-05:00,1/23/21,303,Saturday,1.47,77.8,127,161,14,80,186,245
2021-01-22T16:59:54-05:00,1/22/21,302,Friday,3.18,171,265,163,33,87,188,251
2021-01-21T13:50:37-05:00,1/21/21,301,Thursday,3.15,170.9,283,168,37,95,184,241
2021-01-20T13:36:38-05:00,1/20/21,300,Wednesday,3.18,171.3,263,161,32,82,186,245
2021-01-19T12:29:02-05:00,1/19/21,299,Tuesday,3.17,171,270,165,34,89,186,244
2021-01-18T13:58:54-05:00,1/18/21,298,Monday,3.27,178.4,291,169,40,98,182,238
2021-01-17T16:59:56-05:00,1/17/21,297,Sunday,3.25,179.7,278,167,38,95,182,244
2021-01-16T07:43:17-05:00,1/16/21,296,Saturday,1.28,71.7,114,160,13,78,182,225
2021-01-15T09:22:08-05:00,1/15/21,295,Friday,3.18,170.9,297,173,43,108,182,235
2021-01-14T15:20:43-05:00,1/14/21,294,Thursday,1.39,73.2,99,142,9,52,178,240
2021-01-13T15:02:36-05:00,1/13/21,293,Wednesday,3.16,171.3,289,172,43,109,180,240
2021-01-12T15:51:00-05:00,1/12/21,292,Tuesday,1.31,72.2,95,143,9,53,182,232
2021-01-11T12:09:56-05:00,1/11/21,291,Monday,3.22,179.2,281,168,39,98,176,240
2021-01-10T16:43:10-05:00,1/10/21,290,Sunday,3.25,201.2,284,171,41,104,180,243
2021-01-09T09:44:10-05:00,1/9/21,289,Saturday,3.2,171.2,288,173,43,109,180,241
2021-01-08T13:43:04-05:00,1/8/21,288,Friday,3.2,171.1,275,167,37,93,180,242
2021-01-07T17:05:32-05:00,1/7/21,287,Thursday,3.21,172.1,276,166,40,100,180,240
2021-01-06T14:48:19-05:00,1/6/21,286,Wednesday,3.16,171.1,222,142,19,49,182,239
2021-01-05T11:13:28-05:00,1/5/21,285,Tuesday,3.34,173.5,361,166,44,88,174,198
2021-01-05T09:48:33-05:00,1/5/21,285,Tuesday,3.22,171.2,169,125,11,28,180,239
2021-01-04T09:21:35-05:00,1/4/21,284,Monday,1.57,92.9,128,152,17,63,186,232
2021-01-03T14:10:14-05:00,1/3/21,283,Sunday,3.2,185.3,272,160,35,78,184,234
2021-01-02T13:10:04-05:00,1/2/21,282,Saturday,3.34,192.6,308,167,40,92,182,230
2021-01-01T14:02:58-05:00,1/1/21,281,Friday,3.23,152.6,292,159,34,76,178,222
2020-12-31T15:56:17-05:00,12/31/20,280,Thursday,3.21,181.1,302,168,40,95,178,228
2020-12-30T15:01:05-05:00,12/30/20,279,Wednesday,1.21,62.1,108,153,12,67,-,217
2020-12-29T15:14:57-05:00,12/29/20,278,Tuesday,13.14,0,1462,-,-,-,-,-
2020-12-28T14:33:07-05:00,12/28/20,277,Monday,3.14,163.7,293,172,41,104,178,235
2020-12-27T16:44:14-05:00,12/27/20,276,Sunday,4.08,187.5,376,168,51,98,180,234
2020-12-26T12:50:19-05:00,12/26/20,275,Saturday,6.26,274.5,595,163,82,84,180,215
2020-12-25T14:58:12-05:00,12/25/20,274,Friday,2.24,117.8,130,122,8,25,176,212
2020-12-24T10:34:12-05:00,12/24/20,273,Thursday,3.28,160.1,230,138,19,44,176,228
2020-12-23T09:19:07-05:00,12/23/20,272,Wednesday,3.26,160,304,174,45,110,178,238
2020-12-22T13:52:24-05:00,12/22/20,271,Tuesday,3.17,158.2,155,117,11,25,174,218
2020-12-21T12:05:39-05:00,12/21/20,270,Monday,1.36,75,117,161,14,82,178,235
2020-12-20T13:08:12-05:00,12/20/20,269,Sunday,3.28,159.4,291,169,40,99,178,238
2020-12-19T13:52:14-05:00,12/19/20,268,Saturday,2.1,121.3,170,158,20,78,178,240
2020-12-18T12:36:07-05:00,12/18/20,267,Friday,1.55,79.4,131,165,17,89,178,242
2020-12-17T17:22:07-05:00,12/17/20,266,Thursday,1.05,51.7,101,167,14,97,178,217
2020-12-16T11:46:42-05:00,12/16/20,265,Wednesday,3.28,159.7,305,175,46,113,180,239
2020-12-15T14:11:53-05:00,12/15/20,264,Tuesday,1.54,119.2,124,156,13,71,182,249
2020-12-14T13:03:32-05:00,12/14/20,263,Monday,1.45,77.8,113,152,11,62,182,245
2020-12-13T15:41:59-05:00,12/13/20,262,Sunday,1.45,87,78,126,5,29,184,251
2020-12-12T17:44:10-05:00,12/12/20,261,Saturday,1.51,87.7,114,151,13,69,178,239
2020-12-11T11:50:56-05:00,12/11/20,260,Friday,3.26,159.7,287,171,44,109,182,242
2020-12-10T13:48:31-05:00,12/10/20,259,Thursday,3.28,159.5,296,174,47,118,180,244
2020-12-09T10:25:49-05:00,12/9/20,258,Wednesday,3.29,160.2,285,169,40,101,182,245
2020-12-08T12:25:04-05:00,12/8/20,257,Tuesday,2.09,120.7,175,164,22,87,182,247
